VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
350	WM2	SET	417	0.025265	0.0038507	0.097645	0.39792	zHGT
351	WM20	SET	205	0.10741	0.011549	0.14545	0.23013	zHGT
352	WM21	SET	355	0.11722	0.016513	0.11645	0.15708	zHGT
353	WM22	SET	88	-0.018643	-0.0013178	0.21764	0.53413	zHGT
354	WM23	SET	124	0.15149	0.012698	0.17546	0.19397	zHGT
355	WM24	SET	141	-0.36256	-0.032391	0.18885	0.97255	zHGT
356	WM25	SET	934	0.11145	0.025034	0.070124	0.056008	zHGT
357	WM26	SET	399	-0.057655	-0.0086001	0.10671	0.70551	zHGT
358	WM3	SET	452	0.1347	0.021352	0.10028	0.089608	zHGT
359	WM4	SET	130	-0.40963	-0.03515	0.21283	0.97286	zHGT
360	WM5	SET	75	-0.23397	-0.015274	0.22493	0.85087	zHGT
361	WM6	SET	76	-0.10946	-0.0071927	0.23411	0.67995	zHGT
362	WM7	SET	78	-0.53762	-0.035788	0.25033	0.98412	zHGT
363	WM8	SET	86	0.33714	0.02356	0.21809	0.061077	zHGT
364	WM9	SET	87	0.12578	0.0088407	0.20611	0.27084	zHGT
365	WM1	SET	217	-0.024555	-0.0026935	0.053984	0.67539	zOSTEO
366	WM10	SET	362	0.076106	0.010738	0.043163	0.038942	zOSTEO
367	WM11	SET	198	0.036824	0.0038603	0.056229	0.25628	zOSTEO
368	WM12	SET	115	0.070979	0.0056842	0.081294	0.19131	zOSTEO
369	WM13	SET	105	0.068346	0.0052314	0.078056	0.19063	zOSTEO
370	WM14	SET	91	0.067137	0.0047859	0.088389	0.22376	zOSTEO
371	WM15	SET	99	-0.071861	-0.0053419	0.085467	0.79976	zOSTEO
372	WM16	SET	215	-0.010515	-0.0011481	0.055418	0.57524	zOSTEO
373	WM17	SET	125	0.10861	0.0090657	0.073337	0.069313	zOSTEO
374	WM18	SET	84	0.058055	0.003977	0.093789	0.26796	zOSTEO
375	WM19	SET	213	0.01961	0.0021313	0.050803	0.34975	zOSTEO
376	WM2	SET	428	-0.022965	-0.0035165	0.037531	0.72969	zOSTEO
377	WM20	SET	206	-0.031845	-0.0034045	0.055786	0.71595	zOSTEO
378	WM21	SET	355	0.026252	0.0036687	0.045736	0.28299	zOSTEO
379	WM22	SET	88	0.070174	0.0049197	0.085143	0.20492	zOSTEO
380	WM23	SET	128	0.036363	0.0030711	0.066927	0.29345	zOSTEO
381	WM24	SET	143	0.056558	0.0050467	0.071835	0.21555	zOSTEO
382	WM25	SET	946	-0.010428	-0.0023382	0.027142	0.64958	zOSTEO
383	WM26	SET	398	0.068619	0.010141	0.0415	0.049126	zOSTEO
384	WM3	SET	454	0.021958	0.0034602	0.039154	0.28747	zOSTEO
385	WM4	SET	130	-0.13387	-0.011393	0.080739	0.95133	zOSTEO
386	WM5	SET	75	0.039167	0.0025359	0.084914	0.32231	zOSTEO
387	WM6	SET	76	-0.13052	-0.0085067	0.096482	0.91193	zOSTEO
388	WM7	SET	78	-0.075042	-0.0049544	0.10116	0.7709	zOSTEO
389	WM8	SET	87	-0.019563	-0.0013637	0.087359	0.5886	zOSTEO
390	WM9	SET	88	-0.036898	-0.0025868	0.08087	0.67589	zOSTEO
