Gene	cluster
OSBPL1A	Cluster_10
WDR20	Cluster_10
PPP1R16B	Cluster_10
SLC12A2	Cluster_10
ZHX2	Cluster_10
AATK	Cluster_10
EPN2	Cluster_10
AP3B1	Cluster_10
MVB12B	Cluster_10
SLC9A9	Cluster_10
PTPRJ	Cluster_10
SERINC5	Cluster_10
TRAPPC10	Cluster_10
ATP8A1	Cluster_10
HSP90AA1	Cluster_10
ACER3	Cluster_10
FNIP2	Cluster_10
CDC14B	Cluster_10
PPP1R21	Cluster_10
ZNF638	Cluster_10
IGSF11	Cluster_10
RNF13	Cluster_10
SRCIN1	Cluster_10
TULP4	Cluster_10
SAMD4B	Cluster_10
TECPR2	Cluster_10
SMURF1	Cluster_10
STARD13	Cluster_10
WSB1	Cluster_10
FNBP1	Cluster_10
C9orf3	Cluster_10
ZDHHC20	Cluster_10
ANKRD28	Cluster_10
ANKIB1	Cluster_10
WDFY2	Cluster_10
ZKSCAN1	Cluster_10
AK5	Cluster_10
RNF130	Cluster_10
PPM1B	Cluster_10
EVA1C	Cluster_10
RAB30	Cluster_10
ZNF644	Cluster_10
KDM6A	Cluster_10
OSBPL9	Cluster_10
DICER1	Cluster_10
CHKA	Cluster_10
ADAM10	Cluster_10
MDM4	Cluster_10
ATM	Cluster_10
CDK17	Cluster_10
SNX29	Cluster_10
ZNF565	Cluster_10
ANAPC5	Cluster_10
PKP4	Cluster_10
MAP4K5	Cluster_10
MGAT5	Cluster_10
NSMCE2	Cluster_10
CCNY	Cluster_10
NFIA	Cluster_10
DENND5A	Cluster_10
SLF2	Cluster_10
FAM134B	Cluster_10
PHYHIPL	Cluster_10
NFE2L2	Cluster_10
RDX	Cluster_10
PSD3	Cluster_10
BAZ2B	Cluster_10
MAML2	Cluster_10
AGTPBP1	Cluster_10
RAB40B	Cluster_10
SLC22A23	Cluster_10
ADD1	Cluster_10
FAR1	Cluster_10
PAPD4	Cluster_10
LCOR	Cluster_10
DDX17	Cluster_10
CRADD	Cluster_10
ATE1	Cluster_10
ELL2	Cluster_10
RAP1A	Cluster_10
RPS6KA5	Cluster_10
ZZZ3	Cluster_10
NFASC	Cluster_10
RICTOR	Cluster_10
NAALADL2	Cluster_10
PHACTR4	Cluster_10
CCNH	Cluster_10
KIF2A	Cluster_10
FCHSD2	Cluster_10
MEF2A	Cluster_10
SYNDIG1	Cluster_10
PEAK1	Cluster_10
NEO1	Cluster_10
TBL1XR1	Cluster_10
ITCH	Cluster_10
C16orf62	Cluster_10
NLK	Cluster_10
SDCCAG8	Cluster_10
GNAO1	Cluster_10
ACYP2	Cluster_10
SECISBP2L	Cluster_10
PLPP1	Cluster_10
VMP1	Cluster_10
TRPC4AP	Cluster_10
SESTD1	Cluster_10
ZC3H13	Cluster_10
REPS2	Cluster_10
BACH2	Cluster_10
MTMR7	Cluster_10
ANKRD10	Cluster_10
PPP1R12B	Cluster_10
ZNF704	Cluster_10
CEP170	Cluster_10
DOCK9	Cluster_10
PHACTR3	Cluster_10
DPYSL2	Cluster_10
BBS9	Cluster_10
MLLT4	Cluster_10
FOXN3	Cluster_10
ZBTB16	Cluster_10
SHISA8	Cluster_11
ITGA8	Cluster_11
SEZ6	Cluster_11
ADARB2	Cluster_11
PLD5	Cluster_11
L3MBTL4	Cluster_11
HTR2C	Cluster_11
LAMA3	Cluster_11
SLC24A3	Cluster_11
BTBD11	Cluster_11
RGS12	Cluster_11
SYNPR	Cluster_11
PLCE1	Cluster_11
THSD7A	Cluster_11
PROX1	Cluster_11
ZNF804A	Cluster_11
COL21A1	Cluster_11
SLC44A5	Cluster_11
GALNT13	Cluster_11
SDK1	Cluster_11
C8orf34	Cluster_11
EGFR	Cluster_11
GRIN2D	Cluster_11
SLC35F4	Cluster_11
SEMA5A	Cluster_11
CALN1	Cluster_11
PTPRE	Cluster_11
WSCD2	Cluster_11
LYPD6B	Cluster_11
KCNT2	Cluster_11
ANK1	Cluster_11
ANO4	Cluster_11
HTR1E	Cluster_11
RERG	Cluster_11
MCC	Cluster_11
KIAA1211	Cluster_11
B4GALT6	Cluster_11
ENTPD3	Cluster_11
SLC6A11	Cluster_11
NHS	Cluster_11
KIAA1456	Cluster_11
DPF3	Cluster_11
GNAL	Cluster_11
SEL1L3	Cluster_11
GAD1	Cluster_11
CLVS1	Cluster_11
LRRC3B	Cluster_11
PLXNA4	Cluster_11
GRIP2	Cluster_11
SLC6A1	Cluster_11
NR3C2	Cluster_11
SVEP1	Cluster_11
VWC2L	Cluster_11
DNER	Cluster_11
ADRA1A	Cluster_11
RARB	Cluster_11
DGKD	Cluster_11
MB21D2	Cluster_11
CCNH	Cluster_11
EML5	Cluster_11
LRFN2	Cluster_11
AFAP1	Cluster_11
SNRPN	Cluster_11
MAPK4	Cluster_11
ENAH	Cluster_11
ZMAT4	Cluster_11
DOCK10	Cluster_11
ZNF536	Cluster_11
RYR3	Cluster_11
TSHZ2	Cluster_11
PPM1E	Cluster_11
PLCL2	Cluster_11
MTSS1	Cluster_11
ANKH	Cluster_11
SUSD4	Cluster_11
ST8SIA5	Cluster_11
CDH13	Cluster_11
KCNC2	Cluster_11
GAB2	Cluster_11
PLPPR1	Cluster_11
NFIX	Cluster_11
CIT	Cluster_11
FIGN	Cluster_11
TXNDC16	Cluster_11
OSBPL1A	Cluster_11
SORCS3	Cluster_11
COL11A1	Cluster_11
SLC4A7	Cluster_11
RIPOR2	Cluster_11
RUNX1T1	Cluster_11
PDE1C	Cluster_11
FHOD3	Cluster_11
GTF2IRD1	Cluster_11
HIP1	Cluster_11
GALNT7	Cluster_11
PCDH11X	Cluster_11
PPM1H	Cluster_11
KLF12	Cluster_11
PARD3	Cluster_11
TUSC3	Cluster_11
MAN1A2	Cluster_11
KIAA1549L	Cluster_11
CCDC85A	Cluster_11
GPR137C	Cluster_11
KLHL42	Cluster_11
KLHL29	Cluster_11
CNTNAP4	Cluster_11
TBC1D4	Cluster_11
SRRM4	Cluster_11
TTC39C	Cluster_11
IGSF21	Cluster_11
AC116366.7	Cluster_11
STIM1	Cluster_11
RANBP17	Cluster_11
FOXN3	Cluster_11
NLGN4Y	Cluster_11
VOPP1	Cluster_11
NEDD4L	Cluster_11
KCNJ3	Cluster_11
SMARCA2	Cluster_11
INPP4B	Cluster_11
MIPOL1	Cluster_11
CHST11	Cluster_11
SGCZ	Cluster_11
APBA1	Cluster_11
SEZ6L	Cluster_11
CTTNBP2	Cluster_11
CACNA1D	Cluster_11
SYT16	Cluster_11
NMNAT2	Cluster_11
LRCH1	Cluster_11
GNAS	Cluster_11
OLFM3	Cluster_11
ANKRD30BL	Cluster_11
HDAC9	Cluster_11
ZNF292	Cluster_11
RALGPS2	Cluster_11
SOBP	Cluster_11
RUNDC3B	Cluster_11
GSE1	Cluster_11
TIAM1	Cluster_11
MLLT4	Cluster_11
CDK8	Cluster_11
NR3C1	Cluster_11
RNF180	Cluster_11
PDE10A	Cluster_11
IMMP2L	Cluster_11
RP11-701H24.9	Cluster_11
RALGPS1	Cluster_11
SYT14	Cluster_11
ARHGAP44	Cluster_11
ATP1B1	Cluster_11
MYRIP	Cluster_11
RFX7	Cluster_11
PRICKLE2	Cluster_11
PPP1R13B	Cluster_11
ADRBK2	Cluster_11
PAM	Cluster_11
SPAG16	Cluster_11
TFDP2	Cluster_11
VPS13B	Cluster_11
CNTN3	Cluster_11
PAK3	Cluster_11
NR6A1	Cluster_11
BICD1	Cluster_11
STOX2	Cluster_11
CNNM2	Cluster_11
SLC25A12	Cluster_11
AK5	Cluster_11
EXT1	Cluster_11
CCDC91	Cluster_11
PTPN4	Cluster_11
SLIT2	Cluster_11
SUPT3H	Cluster_11
ZBTB20	Cluster_11
HS3ST4	Cluster_12
KIAA1217	Cluster_12
ADAMTSL1	Cluster_12
CLSTN2	Cluster_12
DLC1	Cluster_12
ZFHX3	Cluster_12
TLE4	Cluster_12
RAP1GAP	Cluster_12
MCTP1	Cluster_12
RYR3	Cluster_12
ADCY1	Cluster_12
RAP1GAP2	Cluster_12
SLIT3	Cluster_12
PRKAG2	Cluster_12
DGKG	Cluster_12
NOS1AP	Cluster_12
CES4A	Cluster_12
PDZRN4	Cluster_12
GAS7	Cluster_12
FOXP2	Cluster_12
POU6F2	Cluster_12
CSMD2	Cluster_12
ZFPM2	Cluster_12
SLIT1	Cluster_12
DSCAML1	Cluster_12
SV2B	Cluster_12
STX1A	Cluster_12
CABP1	Cluster_12
SLC35F1	Cluster_12
TRPM3	Cluster_12
PLXDC2	Cluster_12
KHDRBS3	Cluster_12
CALN1	Cluster_12
SORCS3	Cluster_12
KIAA0930	Cluster_12
AK5	Cluster_12
ARHGAP44	Cluster_12
GRIK4	Cluster_12
TMEFF2	Cluster_12
NIN	Cluster_12
ACAP3	Cluster_12
ANKRD36B	Cluster_12
GOLGA8B	Cluster_12
SSBP3	Cluster_12
ZFYVE28	Cluster_12
CACNA1E	Cluster_12
EPHA5	Cluster_12
PPP2R2C	Cluster_12
GRIN1	Cluster_12
KIAA1211L	Cluster_12
CADPS2	Cluster_12
BASP1	Cluster_12
CHD5	Cluster_12
PKD1	Cluster_12
RNF130	Cluster_12
SEZ6L	Cluster_12
SLC22A10	Cluster_12
FAM153C	Cluster_12
BMPER	Cluster_12
RANBP3L	Cluster_13
TPD52L1	Cluster_13
ACSBG1	Cluster_13
PRDM16	Cluster_13
HPSE2	Cluster_13
SLC14A1	Cluster_13
ATP1A2	Cluster_13
GLI3	Cluster_13
ADGRV1	Cluster_13
SLC1A3	Cluster_13
SLC25A18	Cluster_13
CABLES1	Cluster_13
HIF3A	Cluster_13
PAPLN	Cluster_13
NKAIN3	Cluster_13
ACSS1	Cluster_13
ZNF98	Cluster_13
GPC5	Cluster_13
SLC1A2	Cluster_13
PITPNC1	Cluster_13
ALDH1L1	Cluster_13
CDH20	Cluster_13
ACACB	Cluster_13
GNA14	Cluster_13
NHSL1	Cluster_13
TRPM3	Cluster_13
ZBTB20	Cluster_13
MSI2	Cluster_13
ETNPPL	Cluster_13
PAMR1	Cluster_13
STON2	Cluster_13
GLIS3	Cluster_13
LRP4	Cluster_13
LIFR	Cluster_13
EYA2	Cluster_13
PREX2	Cluster_13
RYR3	Cluster_13
SLC4A4	Cluster_13
ZNRF3	Cluster_13
FBXL7	Cluster_13
PARD3	Cluster_13
PARD3B	Cluster_13
FKBP5	Cluster_13
BMPR1B	Cluster_13
SLCO1C1	Cluster_13
GRAMD3	Cluster_13
SHROOM3	Cluster_13
GRAMD1C	Cluster_13
LRRC16A	Cluster_13
ITPR2	Cluster_13
ARHGAP24	Cluster_13
RFX4	Cluster_13
ARHGAP31	Cluster_13
MMD2	Cluster_13
KCNN3	Cluster_13
CHPT1	Cluster_13
NFIA	Cluster_13
GPR75-ASB3	Cluster_13
ATP13A4	Cluster_13
SFXN5	Cluster_13
ITPKB	Cluster_13
TCF7L2	Cluster_13
AHCYL2	Cluster_13
PIK3C2A	Cluster_13
PHF21B	Cluster_13
NPL	Cluster_13
COL5A3	Cluster_13
FOXO1	Cluster_13
OPHN1	Cluster_13
SLC39A11	Cluster_13
TPCN1	Cluster_13
PRKCA	Cluster_13
RHOBTB3	Cluster_13
MAML2	Cluster_13
SASH1	Cluster_13
ACOT11	Cluster_13
CSGALNACT1	Cluster_13
ZHX3	Cluster_13
KANK1	Cluster_13
FNBP1	Cluster_13
GLUD1	Cluster_13
MEIS2	Cluster_13
TRPS1	Cluster_13
PTPRZ1	Cluster_13
MAPK4	Cluster_13
DNAH7	Cluster_13
NCKAP5	Cluster_13
ASPH	Cluster_13
DGKG	Cluster_13
PHLPP1	Cluster_13
LPP	Cluster_13
MAP3K5	Cluster_13
EEF2K	Cluster_13
REPS1	Cluster_13
FGD4	Cluster_13
ARHGEF4	Cluster_13
APC	Cluster_13
ZHX2	Cluster_13
ABLIM1	Cluster_13
BCL2	Cluster_13
LGI1	Cluster_13
CDHR3	Cluster_13
FYN	Cluster_13
ADD3	Cluster_13
SOX6	Cluster_13
CRB1	Cluster_13
PDE7B	Cluster_13
GAREM1	Cluster_13
FAM184A	Cluster_13
DDAH1	Cluster_13
SGK3	Cluster_13
ZFHX3	Cluster_13
CPE	Cluster_13
JARID2	Cluster_13
BAZ2B	Cluster_13
AHCYL1	Cluster_13
LHFP	Cluster_13
CAMK2G	Cluster_13
NFAT5	Cluster_13
LPIN1	Cluster_13
DOCK7	Cluster_13
CTDSPL	Cluster_13
PDE3B	Cluster_13
ITSN1	Cluster_13
GRM3	Cluster_13
DLC1	Cluster_13
FUT9	Cluster_13
PSD3	Cluster_13
SPTBN1	Cluster_13
ESRRG	Cluster_13
MAST4	Cluster_13
CHKA	Cluster_13
NEO1	Cluster_13
ERBIN	Cluster_13
NAALADL2	Cluster_13
EPHB1	Cluster_13
NT5C2	Cluster_13
CLEC16A	Cluster_13
SFMBT2	Cluster_13
PLPP1	Cluster_13
RABGAP1	Cluster_13
TOM1L2	Cluster_13
ACYP2	Cluster_13
RORB	Cluster_13
ACAP2	Cluster_13
DENND1A	Cluster_13
POU2F1	Cluster_13
C11orf49	Cluster_13
DDX17	Cluster_13
MYO6	Cluster_13
SCD5	Cluster_13
TMTC2	Cluster_13
CHST11	Cluster_13
ARHGEF12	Cluster_13
FARP1	Cluster_13
PCCA	Cluster_13
NFIB	Cluster_13
POGZ	Cluster_13
ARAP2	Cluster_13
PTPRK	Cluster_14
CLSTN2	Cluster_14
SLC35F3	Cluster_14
SORCS1	Cluster_14
MCTP1	Cluster_14
CBLN2	Cluster_14
CABP1	Cluster_14
SLIT3	Cluster_14
NECAB1	Cluster_14
RAP1GAP	Cluster_14
PDZRN4	Cluster_14
PCSK2	Cluster_14
SV2B	Cluster_14
AK5	Cluster_14
PLXDC2	Cluster_14
CADPS2	Cluster_14
POU6F2	Cluster_14
KIAA1211L	Cluster_14
SNED1	Cluster_14
KIAA0930	Cluster_14
ZNF385B	Cluster_14
CA10	Cluster_14
TIMP3	Cluster_14
CACNA1E	Cluster_14
MYO1D	Cluster_14
CPNE4	Cluster_14
SATB2	Cluster_14
MMP16	Cluster_14
FAM153C	Cluster_14
NIN	Cluster_14
SH3GL2	Cluster_14
MICAL2	Cluster_14
RAP1GAP2	Cluster_14
CHD5	Cluster_14
ZNF804B	Cluster_14
SLIT1	Cluster_14
PLXNA4	Cluster_14
EFNA5	Cluster_14
KHDRBS3	Cluster_14
GRM1	Cluster_14
NELL1	Cluster_14
CAMK2A	Cluster_14
MAP1B	Cluster_14
PDXDC1	Cluster_14
ADCY1	Cluster_14
ACAP3	Cluster_14
CCDC3	Cluster_14
CALN1	Cluster_14
DGKG	Cluster_14
GRIN1	Cluster_14
PRICKLE1	Cluster_14
FMN1	Cluster_14
ADAM23	Cluster_14
PRKAG2	Cluster_14
LRFN2	Cluster_14
SMOC1	Cluster_15
COL9A1	Cluster_15
VCAN	Cluster_15
MEGF11	Cluster_15
PLEKHH2	Cluster_15
DISC1	Cluster_15
LHFPL3	Cluster_15
SEMA5A	Cluster_15
ZCCHC24	Cluster_15
BCAS1	Cluster_15
C10orf90	Cluster_15
TNR	Cluster_15
PCDH15	Cluster_15
SHROOM4	Cluster_15
ATP10B	Cluster_15
XYLT1	Cluster_15
KAT2B	Cluster_15
RIN2	Cluster_15
SULF2	Cluster_15
KCNH8	Cluster_15
PTPRZ1	Cluster_15
EPN2	Cluster_15
CHD7	Cluster_15
LUZP2	Cluster_15
DOCK1	Cluster_15
TNS3	Cluster_15
PLPPR1	Cluster_15
FGFR1	Cluster_15
TMEM132C	Cluster_15
RAB31	Cluster_15
ARHGAP31	Cluster_15
SLC35F1	Cluster_15
TANC1	Cluster_15
SPATA6	Cluster_15
MMD2	Cluster_15
SCD5	Cluster_15
MAML2	Cluster_15
HIP1	Cluster_15
NCKAP5	Cluster_15
RFTN2	Cluster_15
ZNF462	Cluster_15
SOX6	Cluster_15
C10orf11	Cluster_15
CHST11	Cluster_15
HIP1R	Cluster_15
SGK1	Cluster_15
KIF13A	Cluster_15
RPL13	Cluster_15
GALNT10	Cluster_15
SH3D19	Cluster_15
CA10	Cluster_15
NOVA1	Cluster_15
SEZ6L	Cluster_15
TMEM163	Cluster_15
CECR2	Cluster_15
DOCK10	Cluster_15
KANK1	Cluster_15
RHBDL3	Cluster_15
APBB2	Cluster_15
COL11A1	Cluster_15
LDLRAD3	Cluster_15
FRMD4B	Cluster_15
PID1	Cluster_15
OPHN1	Cluster_15
SERINC5	Cluster_15
AMZ1	Cluster_15
NTNG1	Cluster_15
SLC1A1	Cluster_15
ZHX2	Cluster_15
DOCK5	Cluster_15
NXPH1	Cluster_15
ADAMTS17	Cluster_15
PHLDB1	Cluster_15
PELI2	Cluster_15
SGMS1	Cluster_15
WWP2	Cluster_15
BRINP3	Cluster_15
PDZRN4	Cluster_15
LRRN1	Cluster_15
TAOK3	Cluster_15
DGKG	Cluster_15
ZFHX4	Cluster_15
PTN	Cluster_15
CASK	Cluster_15
ZBTB20	Cluster_15
MTSS1	Cluster_15
ITPR2	Cluster_15
DCC	Cluster_15
SLAIN1	Cluster_15
PEAK1	Cluster_15
PHLPP1	Cluster_15
TNK2	Cluster_15
GALNT13	Cluster_15
GAB1	Cluster_15
PTPRJ	Cluster_15
FCHSD2	Cluster_15
FAM110B	Cluster_15
ZNF365	Cluster_15
TCF12	Cluster_15
GLCCI1	Cluster_15
GNG7	Cluster_15
SLC9A9	Cluster_15
EDIL3	Cluster_15
SHC3	Cluster_15
C1orf61	Cluster_15
PTPRE	Cluster_15
MMP16	Cluster_15
COBL	Cluster_15
PIP4K2A	Cluster_15
ST6GAL1	Cluster_15
P2RX7	Cluster_15
CDC14B	Cluster_15
SLC24A3	Cluster_15
NFIA	Cluster_15
REV3L	Cluster_15
ZFPM2	Cluster_15
CTTNBP2	Cluster_15
ALCAM	Cluster_15
ABHD2	Cluster_15
KIF26B	Cluster_15
COLGALT2	Cluster_15
NAV1	Cluster_15
SNX1	Cluster_15
CREB5	Cluster_15
ARHGAP22	Cluster_15
ST18	Cluster_15
GSG1L	Cluster_15
SORCS3	Cluster_15
SRGAP1	Cluster_15
FIGN	Cluster_15
L3MBTL4	Cluster_15
PRKCA	Cluster_15
ELMO1	Cluster_15
NLGN4Y	Cluster_15
PPP1R9A	Cluster_15
ANKRD44	Cluster_15
ITGB8	Cluster_15
ZEB1	Cluster_15
MBP	Cluster_15
DSCAML1	Cluster_15
RNF220	Cluster_15
NLGN4X	Cluster_15
TCF7L2	Cluster_15
GPC6	Cluster_15
CDK19	Cluster_15
SAMD4A	Cluster_15
RAD51B	Cluster_15
NAALADL2	Cluster_15
KCNIP1	Cluster_15
SLC44A1	Cluster_15
RBPJ	Cluster_15
MPPED2	Cluster_15
HIPK2	Cluster_15
ZDHHC14	Cluster_15
SHISA6	Cluster_15
SPRED1	Cluster_15
PICALM	Cluster_15
CSGALNACT1	Cluster_15
CRADD	Cluster_15
PALLD	Cluster_15
ZNF704	Cluster_15
CHL1	Cluster_15
DIP2B	Cluster_15
ANKRD28	Cluster_15
ANO4	Cluster_15
OLFM2	Cluster_15
PHYHIPL	Cluster_15
COMMD10	Cluster_15
FYN	Cluster_15
CALD1	Cluster_15
TENM1	Cluster_15
NAPEPLD	Cluster_15
PSEN1	Cluster_15
DENND2A	Cluster_15
MAP4K5	Cluster_15
PLP1	Cluster_15
ZFYVE16	Cluster_15
CSMD2	Cluster_15
PIK3R1	Cluster_15
PPM1B	Cluster_15
ARHGAP21	Cluster_15
GNPTAB	Cluster_15
ZEB2	Cluster_15
NCALD	Cluster_15
KIF2A	Cluster_15
TMEM165	Cluster_15
ACER3	Cluster_15
ETV6	Cluster_15
SPAG9	Cluster_15
ANKRD10	Cluster_15
