Gene	cluster
TSHZ2	Inh_L2-4_VIP_CBLN1
PPM1E	Inh_L2-4_VIP_CBLN1
PLCL2	Inh_L2-4_VIP_CBLN1
MTSS1	Inh_L2-4_VIP_CBLN1
ANKH	Inh_L2-4_VIP_CBLN1
SUSD4	Inh_L2-4_VIP_CBLN1
ST8SIA5	Inh_L2-4_VIP_CBLN1
CDH13	Inh_L2-4_VIP_CBLN1
KCNC2	Inh_L2-4_VIP_CBLN1
GAB2	Inh_L2-4_VIP_CBLN1
PLPPR1	Inh_L2-4_VIP_CBLN1
NFIX	Inh_L2-4_VIP_CBLN1
CIT	Inh_L2-4_VIP_CBLN1
FIGN	Inh_L2-4_VIP_CBLN1
TXNDC16	Inh_L2-4_VIP_CBLN1
OSBPL1A	Inh_L2-4_VIP_CBLN1
SORCS3	Inh_L2-4_VIP_CBLN1
COL11A1	Inh_L2-4_VIP_CBLN1
SLC4A7	Inh_L2-4_VIP_CBLN1
RIPOR2	Inh_L2-4_VIP_CBLN1
RUNX1T1	Inh_L2-4_VIP_CBLN1
PDE1C	Inh_L2-4_VIP_CBLN1
FHOD3	Inh_L2-4_VIP_CBLN1
GTF2IRD1	Inh_L2-4_VIP_CBLN1
HIP1	Inh_L2-4_VIP_CBLN1
GALNT7	Inh_L2-4_VIP_CBLN1
PCDH11X	Inh_L2-4_VIP_CBLN1
PPM1H	Inh_L2-4_VIP_CBLN1
KLF12	Inh_L2-4_VIP_CBLN1
PLCB4	Inh_L2-4_VIP_CBLN1
GALNT2	Inh_L2-4_VIP_CBLN1
FNBP1L	Inh_L2-4_VIP_CBLN1
ZNF608	Inh_L2-4_VIP_CBLN1
PARD3	Inh_L2-4_VIP_CBLN1
TUSC3	Inh_L2-4_VIP_CBLN1
MAN1A2	Inh_L2-4_VIP_CBLN1
KIAA1549L	Inh_L2-4_VIP_CBLN1
CCDC85A	Inh_L2-4_VIP_CBLN1
GPR137C	Inh_L2-4_VIP_CBLN1
KLHL42	Inh_L2-4_VIP_CBLN1
KLHL29	Inh_L2-4_VIP_CBLN1
CNTNAP4	Inh_L2-4_VIP_CBLN1
TBC1D4	Inh_L2-4_VIP_CBLN1
SRRM4	Inh_L2-4_VIP_CBLN1
TTC39C	Inh_L2-4_VIP_CBLN1
IGSF21	Inh_L2-4_VIP_CBLN1
AC116366.7	Inh_L2-4_VIP_CBLN1
STIM1	Inh_L2-4_VIP_CBLN1
RANBP17	Inh_L2-4_VIP_CBLN1
FOXN3	Inh_L2-4_VIP_CBLN1
NLGN4Y	Inh_L2-4_VIP_CBLN1
VOPP1	Inh_L2-4_VIP_CBLN1
NEDD4L	Inh_L2-4_VIP_CBLN1
KCNJ3	Inh_L2-4_VIP_CBLN1
SMARCA2	Inh_L2-4_VIP_CBLN1
INPP4B	Inh_L2-4_VIP_CBLN1
MIPOL1	Inh_L2-4_VIP_CBLN1
CHST11	Inh_L2-4_VIP_CBLN1
SGCZ	Inh_L2-4_VIP_CBLN1
APBA1	Inh_L2-4_VIP_CBLN1
SEZ6L	Inh_L2-4_VIP_CBLN1
CTTNBP2	Inh_L2-4_VIP_CBLN1
CACNA1D	Inh_L2-4_VIP_CBLN1
SYT16	Inh_L2-4_VIP_CBLN1
NMNAT2	Inh_L2-4_VIP_CBLN1
LRCH1	Inh_L2-4_VIP_CBLN1
GNAS	Inh_L2-4_VIP_CBLN1
OLFM3	Inh_L2-4_VIP_CBLN1
ANKRD30BL	Inh_L2-4_VIP_CBLN1
HDAC9	Inh_L2-4_VIP_CBLN1
ZNF292	Inh_L2-4_VIP_CBLN1
RALGPS2	Inh_L2-4_VIP_CBLN1
SOBP	Inh_L2-4_VIP_CBLN1
RUNDC3B	Inh_L2-4_VIP_CBLN1
GSE1	Inh_L2-4_VIP_CBLN1
TIAM1	Inh_L2-4_VIP_CBLN1
ADCY5	Inh_L2-4_VIP_CBLN1
DIRC3	Inh_L2-4_VIP_CBLN1
MLLT4	Inh_L2-4_VIP_CBLN1
CDK8	Inh_L2-4_VIP_CBLN1
