Gene	ModuleColor	kWithin	ModuleName
PCGF6	black	12.4291602649032	WM1
PDE3B	black	31.3704624518575	WM1
PEX13	black	23.1104435390516	WM1
PEX3	black	18.3103871977747	WM1
PEX7	black	5.25402097434907	WM1
PIBF1	black	29.9062399854228	WM1
PIGZ	black	6.81820578234164	WM1
PIWIL4	black	6.56085208525576	WM1
PLAC8L1	black	6.26164701632722	WM1
POLG2	black	6.7711453660892	WM1
POLR3G	black	21.2735958966183	WM1
PON3	black	7.36376833535709	WM1
POP1	black	26.8864722667984	WM1
PPP1R42	black	26.677059954607	WM1
PRH1	black	15.4504185127474	WM1
PRIM2	black	20.6573260611752	WM1
PRIMPOL	black	11.4773333241591	WM1
PSMA1	black	10.6112212919247	WM1
PUS10	black	6.35588000145443	WM1
R3HCC1L	black	28.1144533098011	WM1
RAB28	black	16.9884414454001	WM1
RAB40A	black	17.970559074638	WM1
RAB40AL	black	20.9713094390742	WM1
RBKS	black	17.2228830775128	WM1
RBM41	black	26.3726713744956	WM1
RECK	black	6.32443712972345	WM1
RFX7	black	22.569134702554	WM1
RFXAP	black	5.53508478589956	WM1
RNF103-CHMP3	black	9.2387754480876	WM1
RNF180	black	16.9176933466386	WM1
ROCK1	black	16.8612048532428	WM1
RP1-138B7.6	black	6.29160433344826	WM1
RP11-159D12.5	black	4.19701307380731	WM1
RP11-475E11.9	black	14.4406808256453	WM1
RP11-761B3.1	black	9.8803397375985	WM1
RRH	black	17.107177522758	WM1
SAXO2	black	14.2450067029211	WM1
SCAPER	black	11.0768319841644	WM1
SCLT1	black	17.5322137079767	WM1
SCML2	black	19.4779762422636	WM1
SEC22A	black	24.1739212808631	WM1
SENP7	black	8.96554625865577	WM1
SHFM1	black	12.7321643138732	WM1
SHPRH	black	38.9913591265949	WM1
SLC25A31	black	7.94840054028326	WM1
SLC35D1	black	30.9021437512571	WM1
SNX7	black	15.0409845452806	WM1
SP140	black	17.1050230720169	WM1
SPATA9	black	12.7742000607039	WM1
SRBD1	black	6.81561903685017	WM1
STK19	black	14.5983618394617	WM1
STK33	black	17.0323244125023	WM1
STK38	black	13.3377467777362	WM1
STRN3	black	13.0077125364201	WM1
SYCP2L	black	11.5255313580773	WM1
SYT14	black	4.81536723807922	WM1
TAF1B	black	6.8228171815606	WM1
TATDN1	black	6.04611081771462	WM1
TBC1D32	black	19.9535536838892	WM1
TBCK	black	26.2341269343274	WM1
TCERG1	black	29.3481708907973	WM1
TDRD6	black	19.6793918446161	WM1
TEX9	black	7.62896889029438	WM1
THOC1	black	30.7871887987683	WM1
TIGD4	black	8.48578212583996	WM1
TMEM185A	black	3.70716831426176	WM1
TMEM243	black	3.24216343613326	WM1
TMEM260	black	16.909674359008	WM1
TMEM56-RWDD3	black	23.4963613729116	WM1
TMLHE	black	13.7661797879998	WM1
TRA2A	black	26.3183279959353	WM1
TRMT10B	black	12.839787713342	WM1
TRMT11	black	4.39259248213017	WM1
TRMT61B	black	20.5858910466639	WM1
TRPC1	black	32.2545046751509	WM1
TTC17	black	30.6014473260272	WM1
TTC23L	black	31.2211124939833	WM1
TTC26	black	18.2235708432189	WM1
TTC27	black	18.5400227042973	WM1
UBN2	black	2.49603662236198	WM1
VPS54	black	21.0322384324338	WM1
VRK1	black	21.3464208394829	WM1
WARS2	black	26.056796636639	WM1
WDR78	black	16.139529374362	WM1
WRN	black	38.3067496351192	WM1
XRN1	black	20.8469687366148	WM1
YIPF7	black	12.0519113619764	WM1
ZCWPW2	black	16.2017208426102	WM1
ZFP2	black	20.1123664290239	WM1
ZFP37	black	12.6173791684606	WM1
ZMAT1	black	23.5601037650407	WM1
ZNF133	black	34.424051351754	WM1
ZNF14	black	27.2812018185899	WM1
ZNF16	black	7.00475053522679	WM1
ZNF19	black	23.2015636495929	WM1
ZNF251	black	13.1126765011062	WM1
ZNF277	black	15.2002950708083	WM1
ZNF345	black	27.7532913528777	WM1
ZNF471	black	16.615727602545	WM1
ZNF487	black	13.5382820423048	WM1
ZNF518A	black	37.3648349598815	WM1
ZNF540	black	10.9808574128084	WM1
ZNF549	black	16.8572570759058	WM1
ZNF573	black	6.32991525810377	WM1
ZNF630	black	25.0418709928484	WM1
ZNF721	black	18.1951540448477	WM1
ZNF75D	black	17.4363810628554	WM1
ZNF780B	black	20.6688209061459	WM1
ZNF782	black	16.9223673374277	WM1
ZNF891	black	11.6748224166527	WM1
ZRSR2	black	10.9693368891806	WM1
ZSWIM5	black	5.67439461629164	WM1
ZSWIM7	black	10.600547966775	WM1
ACP2	blue	20.9150307107193	WM2
ACTG1	blue	34.722708659243	WM2
ACTR1A	blue	54.2861710176735	WM2
ACTR1B	blue	33.2195531349567	WM2
ACVR1B	blue	59.3921593750744	WM2
ADGRA1	blue	53.6989504630216	WM2
AES	blue	56.8471161911	WM2
AGBL5	blue	21.7931203066367	WM2
AGPAT1	blue	38.9667165509259	WM2
AKR1B1	blue	42.5052245291115	WM2
ALKBH5	blue	66.2617648728953	WM2
ALYREF	blue	8.35662697554636	WM2
AMFR	blue	22.1934323752815	WM2
ANKRD34A	blue	11.9916625018302	WM2
AP2A1	blue	63.045593263129	WM2
AP2B1	blue	31.6480345611784	WM2
APH1A	blue	18.0535481774883	WM2
APLP1	blue	35.3398719967565	WM2
APLP2	blue	9.42570543904571	WM2
APMAP	blue	57.789086354882	WM2
APOA1BP	blue	29.1581653969215	WM2
